# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.268802907687542003e+00 8.965019106234728419e-01 6.607509254650091070e-03 2.452341795793000143e+06
-7.268802906988147683e+00 8.842829376496642579e-01 6.605361804608838455e-03 2.452342045808999799e+06
-7.268691620695678424e+00 9.159070987776666284e-01 6.604668735347405534e-03 2.452340795795000158e+06
-7.268691585524085674e+00 9.173701257281099419e-01 6.604824975638396919e-03 2.452341045808000024e+06
-7.268691568379326284e+00 9.196044424531009120e-01 6.604826350149224125e-03 2.452341295804999769e+06
-7.268691568086495636e+00 9.198892765659627546e-01 6.604711490876624159e-03 2.452340545808000024e+06
-7.268655453887091333e+00 9.034277914312585089e-01 5.089049432575601384e-02 2.454526295723999850e+06
-7.268576730551222553e+00 9.004242140799528782e-01 5.088764817003485486e-02 2.454525795731000137e+06
-7.268358016403740685e+00 9.939631772695514123e-01 8.644713188645009039e-02 2.455264295010999776e+06
-7.268081765756264190e+00 8.582298033341730914e-01 1.696340620484615078e-02 2.453066294174000155e+06
-7.268081764421553181e+00 8.636973503720561940e-01 1.696358733764119844e-02 2.453066044602000155e+06
-7.268081553943809503e+00 8.695574643709439444e-01 2.389688432001566692e-02 2.453065794639000203e+06
-7.268081552606906470e+00 8.819980496678668791e-01 2.389724856395861879e-02 2.453065544641000219e+06
-7.267787645008179531e+00 9.649687126188355446e-01 1.043160696724539441e-02 2.452702337470000144e+06
-7.267787600805911907e+00 9.715084325094079931e-01 1.043173388450215414e-02 2.452701793816000223e+06
-7.267787551544036440e+00 9.687119808887846295e-01 1.043165669531601579e-02 2.452702043587000109e+06
-7.267787499096136195e+00 9.694864704094687813e-01 1.043171314169974960e-02 2.452701543945999816e+06
-7.267727972823980309e+00 9.548951374932742597e-01 6.499745925516221823e-02 2.459650043734999839e+06
-7.267606535385081834e+00 1.060546331644234508e+00 8.825783121006972043e-02 2.455259045437000226e+06
-7.266868554620086407e+00 9.091984463060664989e-01 8.247915218906545776e-02 2.459278545591000002e+06
-7.266662336308716164e+00 9.836775109517267301e-01 7.641769065406098585e-03 2.452342545803000219e+06
-7.266662279401598923e+00 1.021111092933150832e+00 7.641874013871248657e-03 2.452343295816999860e+06
-7.266662277375087520e+00 9.972810598605182930e-01 7.641666965463351710e-03 2.452342795837000012e+06
-7.266329968751120028e+00 9.123476616715014975e-01 6.602999378591950345e-03 2.452339795808000024e+06
-7.266329964133250385e+00 9.123352065481117323e-01 6.603220456362315048e-03 2.452340295830999967e+06
-7.266329964046238210e+00 9.160906584974183309e-01 6.603130795600513012e-03 2.452340045793999918e+06
-7.266293003492208413e+00 1.063444748687689012e+00 7.180060297952521597e-02 2.459642044819999952e+06
-7.266078410152579714e+00 1.092059335498988482e+00 9.055085372576869573e-02 2.455259295438999776e+06
-7.266033921720675970e+00 1.049544152531467045e+00 8.656408877700788596e-02 2.455258795448000077e+06
-7.266016302727106080e+00 9.653268998668038670e-01 4.017420626753126500e-02 2.453794555066000205e+06
-7.265372688629232911e+00 9.679421418884653905e-01 8.444007533256774056e-02 2.455264045049000066e+06
-7.265280689598793806e+00 9.608443773862715975e-01 8.377909016563718503e-02 2.455263794933999889e+06
-7.264436862626841851e+00 8.922893578277408810e-01 8.389989624041331584e-02 2.454892003775000107e+06
-7.263600658481124128e+00 1.023603486612287616e+00 8.909070777619312875e-02 2.455265045743000228e+06
-7.263587139467622578e+00 9.716834134862852856e-01 9.605760734034604620e-02 2.454900795431999955e+06
-7.263515359520747339e+00 9.745848854409911999e-01 9.647640152510841838e-02 2.454901295382000040e+06
-7.263334524258282521e+00 1.018623747014975489e+00 7.562430220447291518e-02 2.459284045648000203e+06
-7.263334522664585791e+00 1.026930341478369701e+00 7.598752660284661953e-02 2.459283545338000171e+06
-7.263150958799125867e+00 6.526190986678660488e-01 3.303691037049742013e-02 2.453431294666999951e+06
-7.263150770842446313e+00 6.621848166724260132e-01 3.303628961449147500e-02 2.453431045402999967e+06
-7.263150767228388816e+00 6.650608740219275949e-01 3.303770399018735732e-02 2.453430545475999825e+06
-7.263150674433614284e+00 6.569522409469843449e-01 3.303741557830761066e-02 2.453430795502000023e+06
-7.262844966748982500e+00 9.193530248639997238e-01 6.285722574589389100e-02 2.459651045959999785e+06
-7.262594462132047290e+00 1.018978401070006923e+00 8.406640026704739754e-02 2.455258043527000118e+06
-7.262542045683971104e+00 1.029303921481832473e+00 8.490777196024107409e-02 2.455258295361999888e+06
-7.262269105331269792e+00 1.022941405854190799e+00 7.643352055999472379e-03 2.452344295839999802e+06
-7.262269101160492291e+00 1.014313552774580129e+00 7.643344564244347258e-03 2.452343545826000161e+06
-7.262269024552944430e+00 1.023650252432021457e+00 7.643489369087044620e-03 2.452344045801000204e+06
-7.261810090566129361e+00 9.097449155295792567e-01 8.467891683536349356e-02 2.454891545061999932e+06
-7.261735088763040302e+00 8.888666708238978087e-01 8.366021072150262028e-02 2.454891795055999886e+06
-7.261734454901335845e+00 1.034352111196149115e+00 9.004594069406249290e-02 2.455265295684999786e+06
-7.261720566189723058e+00 9.012656279169313223e-01 6.600836483077150880e-03 2.452339045787999872e+06
-7.261720565774466785e+00 9.002093315083798952e-01 6.601393045431032738e-03 2.452339295818000101e+06
-7.261720543716208454e+00 9.054347074063424650e-01 6.600707201963172677e-03 2.452338545808000024e+06
-7.261720521242158277e+00 8.930222853225449064e-01 6.600683307139944105e-03 2.452338795795000158e+06
-7.261716602660944986e+00 1.079463104559239772e+00 2.558424242185654632e-02 2.453076793502999935e+06
-7.261716469619118541e+00 1.055462331182016156e+00 2.558404295771454090e-02 2.453076543525000103e+06
-7.261716349332959730e+00 1.069482792144973438e+00 1.816241471118559478e-02 2.453077043542999774e+06
-7.261716220054140969e+00 1.039836598442845261e+00 2.558429640153602261e-02 2.453077295735999942e+06
-7.261680617684294070e+00 9.990330759731634869e-01 8.698073688796023606e-02 2.455264544991000090e+06
-7.261659938174128470e+00 8.855566165537913648e-01 8.363499433871306177e-02 2.454892295018999837e+06
-7.261333484030558338e+00 1.224301268086122718e+00 1.390840266428737884e-02 2.452709545675999951e+06
-7.261333477971763983e+00 1.177990184103335558e+00 1.390783577510127170e-02 2.452710295063999947e+06
-7.261333366681252954e+00 1.193244560641858465e+00 1.390809423453600625e-02 2.452709795692000072e+06
-7.261333255253918040e+00 1.162762409994095192e+00 1.390781741814981973e-02 2.452710045409000013e+06
