#t_obs[JD] flux[W/m^2] flux_unc[W/m^2]
2450816.000000 1361.496000 0.131000
2450817.000000 1361.477000 0.135000
2450818.000000 1361.416000 0.133000
2450819.000000 1361.354000 0.133000
2450820.000000 1361.287000 0.135000
2450821.000000 1361.239000 0.131000
2450822.000000 1361.239000 0.137000
2450823.000000 1361.237000 0.131000
2450824.000000 1361.185000 0.136000
2450825.000000 1361.125000 0.132000
2450826.000000 1361.079000 0.135000
2450827.000000 1361.038000 0.134000
2450828.000000 1361.055000 0.133000
2450829.000000 1361.151000 0.136000
2450830.000000 1361.248000 0.131000
2450831.000000 1361.352000 0.137000
2450832.000000 1361.447000 0.131000
2450833.000000 1361.436000 0.137000
2450834.000000 1361.407000 0.132000
2450835.000000 1361.401000 0.135000
2450836.000000 1361.411000 0.134000
2450837.000000 1361.401000 0.132000
2450838.000000 1361.354000 0.136000
2450839.000000 1361.315000 0.131000
2450840.000000 1361.293000 0.136000
2450841.000000 1361.278000 0.131000
2450842.000000 1361.272000 0.136000
2450843.000000 1361.271000 0.132000
2450844.000000 1361.257000 0.134000
2450845.000000 1361.237000 0.135000
2450846.000000 1361.202000 0.132000
2450847.000000 1361.141000 0.136000
2450848.000000 1361.092000 0.131000
2450849.000000 1361.088000 0.137000
2450850.000000 1361.091000 0.131000
2450851.000000 1361.119000 0.136000
2450852.000000 1361.158000 0.133000
2450853.000000 1361.177000 0.134000
2450854.000000 1361.179000 0.135000
2450855.000000 1361.161000 0.132000
2450856.000000 1361.098000 0.136000
2450857.000000 1361.031000 0.131000
2450858.000000 1360.928000 0.136000
2450859.000000 1360.823000 0.131000
2450860.000000 1360.834000 0.136000
2450861.000000 1360.884000 0.133000
2450862.000000 1360.991000 0.134000
2450863.000000 1361.149000 0.135000
2450864.000000 1361.295000 0.131000
2450865.000000 1361.408000 0.136000
2450866.000000 1361.498000 0.131000
2450867.000000 1361.421000 0.137000
2450868.000000 1361.325000 0.133000
2450869.000000 1361.282000 0.136000
2450870.000000 1361.263000 0.134000
2450871.000000 1361.239000 0.134000
2450872.000000 1361.207000 0.136000
2450873.000000 1361.151000 0.132000
2450874.000000 1361.014000 0.134000
2450875.000000 1360.941000 0.133000
2450876.000000 nan nan
2450877.000000 nan nan
2450878.000000 1361.056000 0.132000
2450879.000000 1361.062000 0.133000
2450880.000000 1361.083000 0.133000
2450881.000000 1361.127000 0.136000
2450882.000000 1361.174000 0.131000
2450883.000000 1361.235000 0.137000
2450884.000000 1361.277000 0.131000
2450885.000000 1361.095000 0.136000
2450886.000000 1360.865000 0.132000
2450887.000000 1360.694000 0.135000
2450888.000000 1360.549000 0.135000
2450889.000000 1360.569000 0.133000
2450890.000000 1360.846000 0.137000
2450891.000000 1361.101000 0.131000
2450892.000000 1361.289000 0.137000
2450893.000000 1361.451000 0.131000
2450894.000000 1361.344000 0.136000
2450895.000000 1361.168000 0.133000
2450896.000000 1361.038000 0.136000
2450897.000000 nan nan
2450898.000000 nan nan
2450899.000000 1360.797000 0.131000
2450900.000000 1360.912000 0.131000
2450901.000000 1360.932000 0.137000
2450902.000000 1360.938000 0.131000
2450903.000000 1360.968000 0.136000
