# t_obs[JD] solar_distance[m] wavelength[angstrom] unnorm_flux[DN/s] unnorm_flux_unc[DN/s]
2458530.055203 146511735995.000000 304.000000 10603440.550341 97401.794229
2458530.541189 146525262565.000000 171.000000 73995686.587597 97313.317048
2458530.545661 146525454607.000000 284.000000 1731811.320754 96830.567993
2458530.550958 146525454607.000000 195.000000 33012092.108355 97158.397492
2458531.040701 146539260868.000000 171.000000 72894764.899073 97226.007026
2458531.044800 146539457464.000000 284.000000 1701513.510597 96712.876921
2458531.050111 146539457464.000000 195.000000 32392179.354657 97133.567893
2458531.054185 146539656219.000000 304.000000 10696289.033335 97150.544143
2458531.554093 146553748420.000000 304.000000 10679325.031076 97067.200452
2458532.040355 146567531901.000000 171.000000 72794000.124668 96881.106148
2458532.044464 146567733205.000000 284.000000 1680455.060776 96455.247093
2458532.049780 146567733205.000000 195.000000 32155322.469940 96947.880339
2458532.053833 146567929870.000000 304.000000 10754898.233893 97040.775654
2458532.539678 146581802132.000000 171.000000 71627215.882028 96794.778768
2458532.543777 146582001079.000000 284.000000 1661541.154657 96452.853729
2458532.549075 146582001079.000000 195.000000 31709674.981991 96842.843428
2458532.553154 146582198025.000000 304.000000 10602670.391924 97048.741593
2458533.039315 146596149107.000000 171.000000 71390632.272670 96709.310895
2458533.043421 146596345625.000000 284.000000 1645741.722654 96333.547515
2458533.048717 146596345625.000000 195.000000 31600980.650610 96768.354255
2458533.052779 146596547073.000000 304.000000 10665979.851978 96907.796521
2458533.541333 146610577208.000000 171.000000 71594882.426526 96700.557144
2458533.545440 146610778157.000000 284.000000 1652315.518652 96280.301521
2458533.550729 146610778157.000000 195.000000 31890298.530584 96735.310207
2458533.554785 146610977225.000000 304.000000 10749326.673877 96854.059511
2458534.040916 146625085866.000000 171.000000 72364081.233231 96617.878303
2458534.045000 146625284352.000000 284.000000 1656789.284312 96171.623934
2458534.050283 146625284352.000000 195.000000 32073296.334628 96726.521706
2458534.054373 146625491935.000000 304.000000 10899471.152409 96836.771580
2458534.541085 146639666799.000000 171.000000 71981067.608664 96600.288631
2458534.544224 146639869797.000000 284.000000 1630297.753260 96052.008868
2458534.549511 146639869797.000000 195.000000 31632268.443976 96620.768192
2458534.553589 146640074952.000000 304.000000 10631083.708698 96726.966248
2458535.039970 146654331879.000000 171.000000 71310956.456812 96489.003575
2458535.044077 146654536331.000000 284.000000 1612990.628940 95976.633994
2458535.049373 146654536331.000000 195.000000 31828412.637172 96576.087815
2458535.053427 146654739084.000000 304.000000 10657737.866087 96529.929372
2458535.539996 146669061105.000000 171.000000 72212738.408781 96476.267817
2458535.544096 146669270183.000000 284.000000 1623060.695126 95971.566147
2458535.553326 146669474377.000000 304.000000 10684858.825998 96550.077640
2458536.040071 146683868076.000000 171.000000 73018902.348320 96472.430383
2458536.044193 146684071504.000000 284.000000 1633356.648458 95929.922901
2458536.049502 146684071504.000000 195.000000 32500151.550297 96539.479712
2458536.053557 146684277088.000000 304.000000 10766906.702130 96533.134541
2458536.540047 146698734678.000000 171.000000 71842239.612257 96447.513622
2458536.544151 146698946579.000000 284.000000 1629639.353867 95897.129969
2458536.548796 146698946579.000000 195.000000 31619423.481361 96540.310381
2458536.552857 146699149856.000000 304.000000 10662113.192582 96551.476494
2458537.043846 146713886487.000000 284.000000 1609300.063397 95894.410449
2458537.049142 146713886487.000000 195.000000 31702456.778349 96523.599918
2458537.053198 146714092994.000000 304.000000 10605236.737344 96525.557044
2458537.541911 146728677768.000000 171.000000 73081096.900183 96395.536575
2458537.546020 146728890702.000000 284.000000 1644622.216787 95893.088083
2458537.551332 146728890702.000000 195.000000 31757723.145467 96476.202983
2458537.555406 146729098622.000000 304.000000 10712878.240562 96565.180232
2458538.041515 146743745151.000000 171.000000 72947891.509121 96392.827007
2458538.045623 146743954113.000000 284.000000 1637292.640655 95880.843439
2458538.050925 146743954113.000000 195.000000 31877612.674487 96475.018106
2458538.054986 146744165232.000000 304.000000 10900229.967536 96573.529781
2458538.541067 146758865834.000000 171.000000 71781159.367298 96383.055074
2458538.545185 146759078000.000000 284.000000 1640034.903119 95915.702464
2458538.554572 146759290611.000000 304.000000 10599141.313339 96573.281590
2458539.045284 146774262919.000000 284.000000 1627379.728778 95914.632190
2458539.050583 146774262919.000000 195.000000 31343756.166870 96552.320472
2458539.054643 146774473210.000000 304.000000 10571308.999073 123990.589342
2458539.544842 146789504712.000000 284.000000 1634678.369312 95973.657677
