# t_obs[JD] flux_mean[DN/s] flux_stdev[DN/s]
2452209.590920 841.283051 4.504776
2452209.607586 841.343109 6.615661
2452216.512982 841.845262 3.656005
2452216.516818 841.927238 8.639471
2452216.520676 842.376652 16.673380
2452216.525654 843.510353 49.957210
2452216.608167 842.630007 3.328619
2452223.209129 840.333266 5.262889
2452223.212934 839.555696 26.578557
2452223.216749 840.978183 19.448653
2452223.221700 842.161437 30.181469
2452223.590920 839.555988 3.384173
2452223.607586 839.540174 5.471713
2452230.590920 839.614633 3.664654
2452230.607586 839.591065 4.090082
2452237.593180 846.982768 129.710627
2452237.609616 851.227962 154.393104
2452244.590920 839.411320 5.571376
2452244.607588 839.384071 3.343466
2452251.590921 839.519417 4.665273
2452251.607588 839.533003 10.097777
2452258.591616 839.438253 6.273952
2452258.608288 839.430828 6.047131
2452265.591566 839.490242 3.013312
2452265.608222 839.553109 3.596208
2452272.590120 839.694027 5.671457
2452272.606796 838.874425 27.276291
2452279.591603 839.688554 3.462227
2452279.608269 839.698377 4.883400
2452286.370399 840.416578 11.687493
2452286.374201 840.427602 6.794170
2452286.378014 841.013540 19.802616
2452286.382964 842.364668 41.453928
2452286.462154 840.644894 3.825362
2452288.231214 852.747643 37.939376
2452288.930490 944.591908 32.809242
2452288.933964 908.950344 26.781856
2452288.937436 891.802685 20.332828
2452288.947851 953.788517 111.106045
2452288.958268 896.702648 57.156839
2452288.968686 877.170792 65.567370
2452288.979102 868.033722 31.178175
2452288.999935 860.249855 23.577289
2452289.020768 856.676479 45.639267
2452289.041601 854.225227 26.098072
2452289.062435 852.865688 41.612870
2452289.384148 840.977041 4.250431
2452289.387961 841.060875 4.358730
2452289.391785 841.679780 31.554723
2452289.396748 842.733216 33.796821
2452293.591601 840.022432 3.258085
2452293.608274 840.040911 9.125083
2452300.591602 839.612027 3.473143
2452300.608268 839.581153 3.865894
2452307.591601 839.450688 3.250821
2452307.608269 839.424028 3.278699
2452321.591617 839.206080 3.613326
2452321.608268 839.196999 4.954187
2452328.591594 838.417600 3.119791
2452328.608249 838.436460 6.056540
2452335.590442 838.599833 3.657063
2452335.606873 838.570269 3.846575
2452342.591698 838.800461 3.612457
2452342.608366 838.793539 10.732411
2452349.591698 838.765903 3.632602
2452349.608365 837.958067 29.358813
2452356.591698 838.512040 3.226048
2452356.608365 838.529842 6.393816
2452363.497938 382.560870 417.807077
2452363.501778 838.996404 3.649511
2452363.505628 839.565988 22.878829
2452363.510595 841.103169 79.989280
2452363.651262 838.944362 3.942613
2452366.930587 937.547310 30.794676
2452366.934059 904.073914 16.121149
2452366.937531 887.959614 10.135486
2452366.947948 944.494625 103.361670
2452366.958365 891.373894 54.625589
2452366.968786 872.891811 45.440921
2452366.979199 864.640198 24.174241
2452367.000049 857.491707 40.533087
2452367.020884 853.809967 38.979086
2452367.041698 851.812767 51.012539
2452367.062546 850.083992 16.130390
2452367.319026 839.506003 5.260335
2452367.322850 839.568725 3.481197
2452367.326685 839.979033 11.184972
2452367.331647 840.915071 32.350174
2452370.591698 838.402194 12.449323
