# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2452467.045758 9745064.543357 106012.266355 0 0
2452467.295771 9854610.213307 106012.968556 0 0
2452467.545748 9672044.685556 105848.209570 0 0
2452468.295734 9312867.574478 105848.218436 0 0
2452468.545732 9391376.237330 106071.421849 0 0
2452468.795745 9389625.628870 106071.565233 0 0
2452469.045744 9646066.281261 106065.042079 0 0
2452469.295744 9439311.382689 101307.392857 0 0
2452469.545740 9523383.520482 106045.957096 0 0
2452469.795757 9511407.347394 101283.393032 0 0
2452470.045746 9759721.839744 106037.534996 0 0
2452470.295733 9703578.375783 101287.595971 0 0
2452470.545734 9743931.651667 101280.469121 0 0
2452470.795746 9832228.790413 101270.847575 0 0
2452471.295741 9998187.705185 101268.349523 0 0
2452471.545756 10422002.374764 101242.439348 0 0
2452471.795745 10489567.710290 101237.116417 0 0
2452472.045769 10433198.221015 101234.435040 0 0
2452472.295745 10732888.817004 101253.425625 0 0
2452472.545747 10682314.456385 101252.707089 0 0
2452472.795755 10870329.504190 101252.944470 0 0
2452473.045764 10746450.404830 101249.825974 0 0
2452473.295733 10692518.805479 101247.756608 0 0
2452473.545744 10795560.182669 101239.335207 0 0
2452473.795757 10832866.044217 101237.953486 0 0
2452474.045736 10738494.794312 101233.182248 0 0
2452474.295745 10647507.610656 101231.676232 0 0
2452474.545764 10902086.112327 101224.697747 0 0
2452475.045739 11041174.651831 101221.996709 0 0
2452475.545734 10910706.016054 101206.620676 0 0
2452475.795757 10957546.003182 101252.456352 0 0
2452476.045735 10863541.368318 101252.935206 0 0
2452476.295791 11002043.791840 101253.254739 0 0
2452476.545763 11063329.010576 101244.330194 0 0
2452477.045734 11248429.903622 101243.243464 0 0
2452477.295735 11258886.829628 101256.909545 0 0
2452477.545740 11553601.829027 101485.569505 0 0
2452477.795736 11544157.449187 101487.622371 0 0
2452478.045736 11583198.306278 101486.770752 0 0
2452478.295736 11732942.061217 101487.342344 0 0
2452478.545766 12023653.211296 101480.166516 0 0
2452478.795739 11793514.741931 101478.993152 0 0
2452478.920748 12020521.245622 101479.938030 0 0
2452479.045746 11779154.163079 101478.938764 0 0
2452479.295750 11727344.047229 101476.416961 0 0
2452479.795736 12270826.123415 101236.114645 0 0
2452479.920781 12141598.165293 101234.872424 0 0
2452480.045735 12085858.876937 101234.727393 0 0
2452480.295782 12412238.027146 101519.869569 0 0
2452480.795735 12359749.432642 101509.027188 0 0
2452480.920771 12302900.205750 101508.372953 0 0
2452481.045758 12343324.639480 101505.151851 0 0
2452481.295742 12276930.976467 101504.766619 0 0
